Sport,Country,Home_team,Venue,Coor,Scraped_value,Scraped_value_team
Basketball,Bosnia and Herzegovina,Mostar,Sportska dvorana Bijeli Brijeg (Mostar),"[43.349943095548674, 17.791135521947794]",Sportska dvorana Bijeli Brijeg (Mostar),HKK Mostar
Basketball,Bosnia and Herzegovina,Leotar,Sportska dvorana Milos Mrdic (Trebinje),"[42.70732444832589, 18.345068138766656]",Sportska dvorana Milos Mrdic (Trebinje),Leotar Trebinje
Basketball,Bosnia and Herzegovina,Mladost,Sportska dvorana NOVA BANKA (Mrkonjić Grad),"[44.412580750000004, 17.086323323803303]",Arena Komercijalne Banke (Mrkonjic Grad),Mrkonjic Grad
Basketball,Bosnia and Herzegovina,Posušje,Gradska sportska dvorana Posusje (Posušje),"[43.47217, 17.329752661073634]",Gradska sportska dvorana Posusje (Posušje),Posusje
Basketball,Bosnia and Herzegovina,Promo,Sportska dvorana Donji Vakuf (Donji Vakuf),"[44.14058065867077, 17.402455098361845]",Sportska dvorana Donji Vakuf (Donji Vakuf),None
Basketball,Bosnia and Herzegovina,Radnički,Sportska Dvorana Mirsad Hurić (Gorazde),"[43.66344782972738, 18.97335650997964]",Sportska Dvorana Mirsad Hurić (Gorazde),Radnicki Gorazde
Basketball,Bosnia and Herzegovina,Spars,Sportska dvorana Goran Čengić (Sarajevo),"[43.84745298144874, 18.388824866539792]",Sportska dvorana Novo Sarajevo (Sarajevo),Spars Ilidza
Basketball,Bosnia and Herzegovina,Jahorina,Sportska Dvorana Peki (Pale),"[43.8188762309068, 18.566248510225503]",Sportska Dvorana Peki (Pale),None
Basketball,Bosnia and Herzegovina,Bosna Visit Sarajevo,Dvorana Mirza Delibasic (Sarajevo),"[43.85430585, 18.41438065702522]",Dvorana Mirza Delibasic (Sarajevo),KK Bosna
Basketball,Bosnia and Herzegovina,Orlovik Nansi,KSC Don Bosco (Zepce),"[44.425789824146705, 18.045552260624113]",KSC Don Bosco (Zepce),Orlovik
Basketball,Bosnia and Herzegovina,Široki,Gradska sportska dvorana Pecara (Široki Brijeg),"[43.37865120765998, 17.599360013153458]",Gradska sportska dvorana Pecara (Široki Brijeg),Siroki Brijeg
Basketball,Bosnia and Herzegovina,Slavija 1996,Sportska dvorana Istočno Sarajevo (Lukavica),"[43.82219692745693, 18.362548050803916]",Sportska dvorana Slavija (Lukavica),Slavija
Basketball,Bosnia and Herzegovina,Sloboda,SKPC Mejdan Tuzla (Tuzla),"[44.53714463969599, 18.66536322698637]",SKPC Mejdan (Tuzla),None
Basketball,Bosnia and Herzegovina,Borac WWIN,Sportska dvorana Borik (Banja Luka),"[44.77376808367492, 17.20257762190125]",Sportska dvorana Borik (Banja Luka),Borac Banja Luka
Basketball,Bosnia and Herzegovina,ŽKK Play Off Meridianbet W,Dvorana Mirza Delibasic (Sarajevo),"[43.85430585, 18.41438065702522]",Dvorana Mirza Delibasic (Sarajevo),Play Off Sarajevo W
Basketball,Bosnia and Herzegovina,ŽKK Orlovi W,Sportska dvorana Obilicevo (Banja Luka),"[44.7644053, 17.1914278]",Sportska dvorana Obilicevo (Banja Luka),None
Basketball,Bosnia and Herzegovina,OKK Feniks W,Sportska dvorana Obilicevo (Banja Luka),"[44.7644053, 17.1914278]",Sportska dvorana Obilicevo (Banja Luka),None
Basketball,Bosnia and Herzegovina,ŽKK Kozara W,Arena Gradiska (Gradiska),"[45.1411399, 17.2560019]",Arena Gradiska (Gradiska),None
Basketball,Bosnia and Herzegovina,KK Jedinstvo Tuzla W,SKPC Mejdan Tuzla (Tuzla),"[44.53714463969599, 18.66536322698637]",SKPC Mejdan (Tuzla),KK Jedinstvo W
Basketball,Bosnia and Herzegovina,ŽKK Mladi Krajišnik W,Sportska dvorana Obilicevo (Banja Luka),"[44.7644053, 17.1914278]",Sportska dvorana Borik (Banja Luka),Mladi Krajisnik W
Basketball,Bosnia and Herzegovina,ŽKK RMU Banovići W,Sportska dvorana Banovići (Banovici),"[44.407673427814245, 18.524203210846967]",SKC Banovici (Banovici),Banovici W
Basketball,Bosnia and Herzegovina,KŽK Čelik Zenica W,Gradska Arena Husejin Smajlović (Zenica),"[44.20290375650061, 17.91352556438881]",Gradska arena Zenica (Zenica),Celik Zenica W
Basketball,Bosnia and Herzegovina,ŽKK Leotar W,Sportska dvorana Miloš Mrdić (Trebinje),"[42.70723975928259, 18.345110245387684]",Sportska dvorana Milos Mrdic (Trebinje),Leotar Trebinje W
