Sport,Country,Home_team,Venue,Coor,Scraped_value,Scraped_value_team
Football,Poland,Slask Wroclaw,Tarczynski Arena (Wrocław),"[51.141186149999996, 16.943806687526074]",,
Football,Poland,Korona Kielce,Exbud Arena (Kielce),"[50.86146765, 20.62473650262099]",,
Football,Poland,Lechia Gdansk,Polsat Plus Arena (Gdansk),"[54.38991925, 18.640399984268907]",,
Football,Poland,Piast Gliwice,Stadion Miejski w Gliwicach (Gliwice),"[50.306693249999995, 18.695405488795593]",,
Football,Poland,Puszcza,Stadion Cracovii im. Jozefa Pilsudskiego (Kraków),"[50.05785555, 19.920525409685492]",,
Football,Poland,Radomiak Radom,Stadion im. Braci Czachorów (Radom),"[]",,
Football,Poland,Rakow,Miejski Stadion Piłkarski Raków (Częstochowa),"[]",,
Football,Poland,Stal Mielec,Stadion Miejski przy Solskiego 1 w Mielcu (Mielec),"[]",,
Football,Poland,Widzew Lodz,Stadion Widzewa Łódź (Lodz),"[51.76506415, 19.511742774015417]",,
Football,Poland,Zaglebie,KGHM Zaglebie Arena (Lubin),"[51.41392525, 16.1981933738618]",,
Football,Poland,Arka Gdynia,Stadion Miejski w Gdyni (Gdynia),"[54.49302, 18.53105270573139]",,
Football,Poland,Chrobry Glogow,Stadion Chrobrego (Głogów),"[]",,
Football,Poland,Kotwica Kolobrzeg,Municipal Stadium Sebastiana Karpiniuka (Kolobrzeg),"[]",,
Football,Poland,Leczna,Stadion GKS Górnik Łęczna (Leczna),"[]",,
Football,Poland,Legnica,Stadion im. Orła Białego (Legnica),"[51.20363365, 16.16987625302103]",,
Football,Poland,Odra Opole,Stadion Miejski Odra (Opole),"[]",,
Football,Poland,Pogon Siedlce,Stadion ROSRRiT (Siedlce),"[]",,
Football,Poland,Warta Poznan,Respect Energy Stadium (Grodzisk Wielkopolski),"[]",,
Football,Poland,Wisla,Stadion Miejski im. Henryka Reymana (Kraków),"[50.06358095, 19.911744094973727]",,
Football,Poland,S. Wola,Stadion Stali Stalowa Wola (Stalowa Wola),"[]",,
Football,Poland,Termalica B-B.,Termalica Bruk-Bet Nieciecza (Nieciecza),"[50.159814600000004, 20.850376997712942]",,
Football,Poland,Tychy,Tychy City Stadium (Tychy),"[50.12404035, 18.990608692763143]",,
Football,Poland,LKS Lodz,Stadion ŁKS (Lodz),"[51.758947899999995, 19.42629376548627]",,
Football,Poland,Polonia Warszawa,Stadion Polonii (Warsaw),"[]",,
Football,Poland,Pruszkow,Stadion MZOS Znicz (Pruszków),"[]",,
Football,Poland,Ruch Chorzow,Stadion Śląski (Chorzów),"[50.28824565, 18.973499319484034]",,
Football,Poland,S. Rzeszow,Stadion Miejski w Rzeszowie (Rzeszow),"[]",,
Football,Poland,Wisla Plock,Orlen Stadion (Płock),"[52.56198705, 19.684237325841792]",,
Football,Poland,Hutnik Krakow,Stadion Suche Stawy (Kraków),"[]",,
Football,Poland,Bielsko-Biala,Stadion BTS Rekord (Bielsko-Biała),"[]",,
Football,Poland,Grodzisk M.,Stadion Miejski (Grodzisk Mazowiecki),"[]",,
Football,Poland,KKS Kalisz,Stadion Miejski (Kalisz),"[51.76194695, 18.100348252255664]",,
Football,Poland,LKS Lodz II,Stadion ŁKS (Lodz),"[51.758947899999995, 19.42629376548627]",,
Football,Poland,Olimpia Elblag,Stadion Miejski (Elblag),"[54.0723806, 19.65938358955748]",,
Football,Poland,Polonia Bytom,Stadion im. Edwarda Szymkowiaka (Bytom),"[50.3576495, 18.899189245665653]",,
Football,Poland,R. Rzeszow,Stadion Miejski w Rzeszowie (Rzeszow),"[]",,
Football,Poland,Zaglebie II,KGHM Zaglebie Arena (Lubin),"[51.41392525, 16.1981933738618]",,
Football,Poland,Skra,Miejski Stadion Piłkarski MOSiR - artificial grass (Częstochowa),"[]",,
Football,Poland,Chojniczanka,Stadion Miejski Chojniczanka 1930 (Chojnice),"[]",,
Football,Poland,GKS Jastrzebie,Stadion Miejski (Jastrzebie-Zdroj),"[49.9499303, 18.6120078]",,
Football,Poland,KS Wieczysta Krakow,Stadion KS Wieczysta (Kraków),"[50.076651150000004, 19.97760409203365]",,
Football,Poland,Ol. Grudziadz,Stadion Miejski w Grudziądzu (Grudziądz),"[]",,
Football,Poland,Swit Szczecin,Stadion Miejski Skolwin (Szczecin),"[]",,
Football,Poland,Wisla Pulawy,Stadion MOSiR Puławy (Pulawy),"[51.4243475, 21.972963152913714]",,
Football,Poland,Zaglebie Sosnowiec,ArcelorMittal Park (Sosnowiec),"[50.289097850000005, 19.169540933516494]",,
Football,Poland,Podbeskidzie,Stadion Miejski w Bielsku Bialej (Bielsko-Biała),"[49.81739295, 19.054003677498045]",,
Football,Poland,Stomil Olsztyn,Stadion OSiR (Olsztyn),"[53.77319916789598, 20.509384412002753]",,
Football,Poland,Suwalki,Stadion Miejski w Suwałkach (Suwałki),"[54.09480805, 22.916147116794683]",,
Football,Poland,LKS Lomza,Stadion Miejski w Lomzy (Lomza),"[53.18738930000001, 22.088504912380465]",,
Football,Poland,GKS Belchatow,GIEKSA Arena (Bełchatów),"[51.365936055183944, 19.381798913792228]",,
Football,Poland,Lech Poznan II,Amica Wronki Stadium (Wronki),"[52.71855515161474, 16.374649971495554]",,
Football,Poland,Zawisza,Zdzisław Krzyszkowiak Stadium (Bydgoszcz),"[53.1457015470679, 18.020380381304157]",,
Football,Poland,Ostrowiec Swietokrzyski,Miejski Stadion Sportowy (Ostrowiec Świętokrzyski),"[]",,
Football,Poland,Sandecja Nowy S.,Stadion Ojca Władysława Augustynka (Nowy Sącz),"[49.620700799999995, 20.704416697422165]",,
Football,Portugal,Nacional,Estádio da Madeira (Funchal),"[32.67080536436412, -16.88346542889898]",,
Football,Portugal,Casa Pia,Estádio Municipal de Rio Maior (Rio Maior),"[39.34457664999999, -8.934483521457913]",,
Football,Portugal,Famalicao,Estadio Municipal de Famalicao (Vila Nova de Famalicao),"[41.40125265, -8.522439559428536]",,
Football,Portugal,Boavista,Estádio do Bessa Século XXI (Porto),"[41.16219775, -8.64260125690851]",,
Football,Portugal,Moreirense,Parque Joaquim de Almeida Freitas (Moreira de Conegos),"[]",,
Football,Portugal,Santa Clara,Estádio de São Miguel (Ponta Delgada),"[37.763992349999995, -25.622812315734386]",,
Football,Portugal,Gil Vicente,Estádio Cidade de Barcelos (Barcelos),"[41.55109675, -8.622913409449957]",,
Football,Portugal,Benfica,Estádio da Luz (Lisbon),"[38.7526893, -9.184689881825172]",,
Football,Portugal,Vitoria Guimaraes,Estádio D. Afonso Henriques (Guimarães),"[41.4458485, -8.300992086847335]",,
Football,Portugal,Estrela,Estádio José Gomes (Amadora),"[38.7522289, -9.228047353219871]",,
Football,Portugal,Arouca,Estádio Municipal de Arouca (Arouca),"[40.93229205, -8.250430879373003]",,
Football,Portugal,AVS,Estádio do CD das Aves (Vila das Aves),"[]",,
Football,Portugal,Estoril,Estádio António Coimbra da Mota (Estoril),"[38.715861849999996, -9.406408681149085]",,
Football,Portugal,FC Porto,Estádio do Dragão (Porto),"[41.161823549999994, -8.583749198495163]",,
Football,Portugal,Rio Ave,Estádio do Rio Ave (Vila do Conde),"[41.3627496, -8.74014568502836]",,
Football,Portugal,SC Farense,Estádio de São Luís (Faro),"[37.022885200000005, -7.928272182120652]",,
Football,Portugal,Braga,Estádio Municipal de Braga (Braga),"[41.56249955, -8.429867703056743]",,
Football,Portugal,Sporting CP,Estádio José Alvalade (Lisbon),"[38.761216399999995, -9.160783134674658]",,
Football,Portugal,Leixoes,Estádio do Mar (Matosinhos),"[41.1842636, -8.666216390109792]",,
Football,Portugal,Vizela,Estádio do Vizela (Caldas de Vizela),"[]",,
Football,Portugal,Portimonense,Estádio Municipal de Portimão (Portimão),"[37.1356935, -8.539830494534439]",,
Football,Portugal,Chaves,Estadio Municipal de Chaves (Chaves),"[41.7506323, -7.464984055039307]",,
Football,Portugal,Pacos Ferreira,Estádio da Capital do Móvel (Paços de Ferreira),"[]",,
Football,Portugal,Oliveirense,Estadio Carlos Osorio (Oliveira de Azemeis),"[40.841811199999995, -8.470421354001624]",,
Football,Portugal,Torreense,Estádio Manuel Marques (Torres Vedras),"[39.09478145, -9.256795046495176]",,
Football,Portugal,Benfica B,Benfica Campus (Seixal),"[38.64079565, -9.090660762467012]",,
Football,Portugal,Penafiel,Estadio Municipal 25 de Abril (Penafiel),"[41.211805, -8.277222035877893]",,
Football,Portugal,Mafra,Estadio Municipal de Mafra (Mafra),"[38.9408004, -9.341597988593808]",,
Football,Portugal,Maritimo,Estádio do Marítimo (Funchal),"[32.645502, -16.928397884379656]",,
Football,Portugal,Feirense,Estadio Marcolino de Castro (Santa Maria da Feira),"[40.9266318, -8.545921327183507]",,
Football,Portugal,Tondela,Estádio João Cardoso (Tondela),"[40.511999349999996, -8.082794301199772]",,
Football,Portugal,Academico Viseu,Estádio do Fontelo (Viseu),"[40.6595417, -7.900449886772508]",,
Football,Portugal,Felgueiras,Stadion Dr. Machado de Matos (Felgueiras),"[41.355938699999996, -8.190797637188158]",,
Football,Portugal,FC Porto B,Estadio Luis Filipe Menezes (Vila Nova de Gaia),"[41.06591385, -8.516953200881929]",,
Football,Portugal,Leiria,Estádio Dr. Magalhães Pessoa (Leiria),"[39.74882985, -8.812928038416231]",,
Football,Portugal,Alverca,FC Alverca Sports Complex (Alverca do Ribatejo),"[]",,
Football,Portugal,Covilha,Estádio José Santos Pinto (Covilhã),"[40.2832475, -7.512121518903704]",,
Football,Portugal,Anadia,Estádio Municipal Engenheiro Sílvio Henriques Cerveira (Anadia),"[40.42768385, -8.440043710844183]",,
Football,Portugal,Lusitania FC,Estádio do Lusitânia de Lourosa (Lourosa),"[40.9878874, -8.543598266213642]",,
Football,Portugal,Varzim,Estádio do Varzim SC (Póvoa de Varzim),"[]",,
Football,Portugal,AD Fafe,Parque Municipal dos Desportos de Fafe (Fafe),"[41.446159, -8.1683638]",,
Football,Portugal,Atletico CP,Estádio da Tapadinha (Lisbon),"[38.70970135, -9.18082325]",,
Football,Portugal,Oliveira Hospital,Estádio Municipal de Tábua (Tábua),"[40.3693983, -8.023016001276488]",,
Football,Portugal,Santarem,Campo Cha das Padeiras (Santarem),"[39.2295837, -8.692703390160352]",,
Football,Portugal,Sao Joao Ver,Estádio Clube de São João de Ver (Aveiro),"[40.95854575, -8.556591151385089]",,
Football,Portugal,Sporting CP B,CGD Stadium Aurelio Pereira (Alcochete),"[]",,
Football,Portugal,SC Lusitania,Estádio João Paulo II (Angra do Heroísmo),"[38.660579549999994, -27.20262059175045]",,
Football,Portugal,1º Dezembro,Estádio Municipal de Tábua (Tábua),"[40.3693983, -8.023016001276488]",,
Football,Portugal,Amarante,Amarante Stadium (Amarante),"[41.282055400000004, -8.075774249899226]",,
Football,Portugal,Sanjoanense,Estádio Conde Dias Garcia (São João da Madeira),"[40.89823975, -8.498909199335998]",,
Football,Portugal,Trofense,Estádio do Clube Desportivo Trofense (Trofa),"[41.3331182, -8.564468854050505]",,
Football,Portugal,Vilaverdense,Estadio Cruz do Reguengo (Vila Verde),"[]",,
Football,Portugal,Os Belenenses,Estádio do Restelo (Lisbon),"[38.70258185, -9.207932618845515]",,
Football,Portugal,Caldas,Campo da Mata (Caldas da Rainha),"[39.4032268, -9.12647132574596]",,
Football,Portugal,Braga B,Estádio 1.º de Maio (Braga),"[]",,
Football,Portugal,Academica,Estádio EFAPEL Cidade de Coimbra (Coimbra),"[]",,
Football,Portugal,SC Vianense,Estádio Dr. José de Matos (Viana do Castelo),"[41.6968086, -8.838559293255836]",,
Football,Portugal,Beira Mar,Estádio Municipal de Aveiro (Aveiro),"[40.64777485, -8.593706881281745]",,
Football,Portugal,Pero Pinheiro,Parque de Jogos Pardal Monteiro (Sintra),"[38.85773295, -9.31825401104002]",,
Football,Portugal,Pombal,Estádio Municipal de Pombal (Pombal),"[39.91030375, -8.63149006341601]",,
Football,Portugal,Amora,Medideira Stadium (Amora),"[38.633235299999996, -9.116612927434755]",,
Football,Portugal,Tirsense,Estadio Abel Alves de Figueiredo (Santo Tirso),"[41.343689850000004, -8.482092504070676]",,
Football,Portugal,Racing Power W,Estádio Nacional do Jamor (Lisbon - Oeiras),"[]",,
Football,Portugal,Maritimo W,Campo da Imaculada Conceição (Funchal),"[32.66975303965429, -16.937667847670866]",,
Football,Portugal,Damaiense W,Campo Engenheiro Carlos Salema (Lisbon),"[]",,
Football,Portugal,Valadares Gaia W,Estadio Dr. Jorge Sampaio (Porto),"[]",,
Football,Portugal,Albergaria/Durit W,Estádio do Mergulhão (Nogueira do Cravo),"[]",,
Football,Portugal,Braga W,Estádio 1.º de Maio (Braga),"[]",,
Football,Portugal,Famalicao W,Estadio Municipal de Famalicao (Vila Nova de Famalicao),"[41.40125265, -8.522439559428536]",,
Football,Portugal,Sporting W,CGD Stadium Aurelio Pereira (Alcochete),"[]",,
Football,Portugal,Estoril Praia W,Estádio António Coimbra da Mota (Estoril),"[38.715861849999996, -9.406408681149085]",,
Football,Portugal,Vilaverdense W,Estadio Cruz do Reguengo (Vila Verde),"[]",,
Football,Portugal,SL Benfica W,Caixa Futebol Campus (Seixal),"[38.64079565, -9.090660762467012]",,
Football,Portugal,Torreense W,Estádio Manuel Marques (Torres Vedras),"[39.09478145, -9.256795046495176]",,
Football,Portugal,Gil Vicente W,Estádio Cidade de Barcelos (Barcelos),"[41.55109675, -8.622913409449957]",,
Football,Romania,Sepsi Sf. Gheorghe,Stadionul Sepsi (Sfantu Gheorghe),"[]",,
Football,Romania,FC Hermannstadt,Stadionul Municipal (Sibiu),"[45.78331335, 24.14379411120984]",,
Football,Romania,Gloria Buzau,Stadionul Municipal (Buzau),"[45.37685035, 27.03125919660628]",,
Football,Romania,Petrolul,Stadionul Ilie Oană (Ploiesti),"[]",,
Football,Romania,CFR Cluj,Stadionul Dr. Constantin Rădulescu (Cluj-Napoca),"[46.77974895, 23.57776581082215]",,
Football,Romania,Din. Bucuresti,Stadionul Arcul de Triumf (Bucharest),"[44.4687443, 26.075013988715767]",,
Football,Romania,UTA Arad,Arena Francisc Neuman (Arad),"[]",,
Football,Romania,Poli Iasi,Stadionul Emil Alexandrescu (Iaşi),"[47.18456455, 27.56119789196942]",,
Football,Romania,Farul Constanta,Central Stadium Hagi Academy (Ovidiu),"[]",,
Football,Romania,FC Botosani,Stadionul Municipal (Botoşani),"[47.7481676, 26.65201326802042]",,
Football,Romania,FC Rapid Bucuresti,Superbet Arena - Giulesti (Bucharest),"[44.45577675, 26.057047027105355]",,
Football,Romania,FCSB,Arena Nationala (Bucharest),"[44.4372494, 26.15247577172729]",,
Football,Romania,Otelul,Stadionul Otelul (Galati),"[45.430077049999994, 28.022232565428432]",,
Football,Romania,U. Cluj,Cluj Arena (Cluj-Napoca),"[46.7685779, 23.572453173223224]",,
Football,Romania,Unirea Slobozia,May 1 Stadium (Slobozia),"[]",,
Football,Romania,Univ. Craiova,Stadionul Ion Oblemenco (Craiova),"[44.31403015, 23.784261374396]",,
Football,Romania,Concordia,Stadionul Concordia (Chiajna),"[44.46281295, 25.9755219298103]",,
Football,Romania,CSC Dumbravita,Stefan Dobay Stadium (Dumbravita),"[45.799214899999996, 21.249770548518406]",,
Football,Romania,Csikszereda M. Ciuc,Stadionul Municipal (Miercurea Ciuc),"[46.36688425, 25.80299337207792]",,
Football,Romania,CSM Focsani,Milcovul Stadium (Focsani),"[45.67533095, 27.17782381536049]",,
Football,Romania,CSM Slatina,May 1 Stadium (Slatina),"[]",,
Football,Romania,FC Bihor,Stadionul Iuliu Bodola (Oradea),"[47.07199035, 21.9300602170609]",,
Football,Romania,Metalul Buzau,Stadionul Cornel Negoescu - artificial grass (Buzau),"[]",,
Football,Romania,Mioveni,Stadionul Orăşenesc (Mioveni),"[]",,
Football,Romania,Steaua Bucuresti,Stadionul Steaua (Bucharest),"[44.41308375, 26.04030453512042]",,
Football,Romania,U Craiova 1948,Stadionul Ion Oblemenco (Craiova),"[44.31403015, 23.784261374396]",,
Football,Romania,Afumati,Stadionul Comunal Afumati (Afumati),"[]",,
Football,Romania,Campulung,Muscelul (Campulung),"[45.2721311, 25.0457235]",,
Football,Romania,Ceahlaul,Stadionul Ceahlăul (Piatra Neamţ),"[46.938582499999995, 26.354492584107824]",,
Football,Romania,Chindia Targoviste,Stadionul Eugen Popescu (Targoviste),"[44.93153605, 25.46231856166621]",,
Football,Romania,Corvinul,Corvinul 1921 Hunedoara (Hunedoara),"[45.756838, 22.9015598]",,
Football,Romania,FC Arges,Stadionul Nicolae Dobrin (Pitesti),"[44.84665125, 24.86635531702413]",,
Football,Romania,FC Voluntari,Stadionul Anghel Iordanescu (Voluntari),"[44.4999732, 26.1442942]",,
Football,Romania,Metaloglobus Bucharest,Metaloglobus Stadium (Bucharest),"[]",,
Football,Romania,Selimbar,Stadionul Textila (Cisnadie),"[]",,
Football,Romania,CSM Resita,Mircea Chivu Stadium (Reșița),"[45.28188115, 21.88934789285966]",,
Football,Romania,Calarasi,Stadionul Ion Comsa (Calarasi),"[]",,
Football,Romania,Alexandria,Turnu Măgurele Municipal Stadium (Turnu Măgurele),"[]",,
Football,Romania,LPS HD Clinceni,Stadionul Clinceni (Clinceni),"[44.3777831, 25.94088094871897]",,
Football,Romania,Progresul Spartac,Stadionul Progresul Spartac (Bucharest),"[44.38047415, 26.08782515230117]",,
Football,Romania,Petrolul 2,Stadionul Ilie Oană (Ploiesti),"[]",,
Football,Romania,Tunari,Tunari Stadium (Tunari),"[-16.95095135, -65.39973349222761]",,
Football,Romania,SR Brasov,Stadionul Silviu Ploeşteanu (Braşov),"[]",,
Football,Romania,Unirea Dej,Unirea Stadium (Dej),"[]",,
Football,Romania,Ramnicu Valcea,Stadionul Municipal (Râmnicu Vâlcea),"[45.102927449999996, 24.352431104707833]",,
Football,Romania,Politehnica Timisoara,Stadionul Dan Păltinişanu (Timişoara),"[45.740474449999994, 21.2442737772338]",,
Football,Romania,Sanatatea Cluj,Stadionul Clujana (Cluj-Napoca),"[]",,
Football,Romania,Agricola Borcea,Teren Agricola Borcea (Borcea),"[]",,
Football,Romania,Csikszereda M. Ciuc W,Stadionul Municipal (Miercurea Ciuc),"[46.36688425, 25.80299337207792]",,
Football,Romania,FC Hermannstadt W,Stadionul Municipal (Sibiu),"[45.78331335, 24.14379411120984]",,
Football,San Marino,Fiorentino,Stadio di Fiorentino (Fiorentino),"[]",,
Football,San Marino,Juvenes/Dogana,San Marino Stadium (Serravalle),"[43.9714947, 12.477160293953935]",,
Football,United Kingdom,Motherwell,Fir Park (Motherwell),"[55.7804229, -3.980262681514027]",,
Football,United Kingdom,Aberdeen,Pittodrie Stadium (Aberdeen),"[57.159276899999995, -2.0886286912922]",,
Football,United Kingdom,Rangers,Ibrox Stadium (Glasgow),"[55.85322065, -4.309323914605736]",,
Football,United Kingdom,Ross County,Global Energy Stadium (Dingwall),"[57.5957581, -4.419075037152583]",,
Football,United Kingdom,Dundee Utd,Tannadice Park (Dundee),"[56.47458035, -2.9690462572946066]",,
Football,United Kingdom,Hearts,Tynecastle Park (Edinburgh),"[55.93901965, -3.2322708723891225]",,
Football,United Kingdom,Celtic,Celtic Park (Glasgow),"[55.85018145, -4.2068226877121955]",,
Football,United Kingdom,Dundee FC,Dens Park (Dundee),"[56.474605499999996, -2.9736261756304496]",,
Football,United Kingdom,Kilmarnock,Rugby Park (Kilmarnock),"[]",,
Football,United Kingdom,St Johnstone,McDiarmid Park (Perth),"[56.409870850000004, -3.4768940348432427]",,
Football,United Kingdom,St. Mirren,The SMISA Stadium (Paisley),"[]",,
Football,United Kingdom,Hibernian,Easter Road (Edinburgh),"[55.9616856, -3.1651677730061154]",,
Football,United Kingdom,Queen's Park,Hampden Park (Glasgow),"[55.82601405, -4.251927072450821]",,
Football,United Kingdom,Airdrieonians,Albert Bartlett Stadium (Airdrie),"[]",,
Football,United Kingdom,Falkirk,Falkirk Stadium (Falkirk),"[56.005451199999996, -3.7529583885123845]",,
Football,United Kingdom,Livingston,Tony Macaroni Arena (Livingston),"[55.8859826, -3.52200918192825]",,
Football,United Kingdom,Morton,Cappielow Park (Greenock),"[55.94122875, -4.727030782924528]",,
Football,United Kingdom,Dunfermline,East End Park (Dunfermline),"[56.07564595, -3.4419919636787704]",,
Football,United Kingdom,Ayr,Somerset Park (Ayr),"[55.469746150000006, -4.61997562507614]",,
Football,United Kingdom,Hamilton,ZLX Stadium (Hamilton),"[]",,
Football,United Kingdom,Partick Thistle,Firhill Stadium (Glasgow),"[55.881559949999996, -4.269408769664489]",,
Football,United Kingdom,Raith,Stark's Park (Kirkcaldy),"[56.099775050000005, -3.1684282806344712]",,
Football,United Kingdom,Annan,Galabank (Annan),"[54.99464245, -3.261417238745259]",,
Football,United Kingdom,Cove Rangers,Balmoral Stadium (Aberdeen),"[57.11256605, -2.096828425990587]",,
Football,United Kingdom,Kelty Hearts,New Central Park (Kelty),"[56.136158699999996, -3.37925666498467]",,
Football,United Kingdom,Montrose,Links Park (Montrose),"[56.71370505, -2.459112515250773]",,
Football,United Kingdom,Stenhousemuir,Ochilview Park (Stenhousemuir),"[]",,
Football,United Kingdom,Alloa,Recreation Park (Alloa),"[]",,
Football,United Kingdom,Arbroath,Gayfield Park (Arbroath),"[56.5523362, -2.591480065426758]",,
Football,United Kingdom,Dumbarton,Dumbarton Football Stadium (Dumbarton),"[55.9384141, -4.561664134572066]",,
Football,United Kingdom,Inverness,Tulloch Caledonian Stadium (Inverness),"[57.49499995, -4.2173609178766505]",,
Football,United Kingdom,Queen of South,Palmerston Park (Dumfries),"[55.0703969, -3.624615571521617]",,
Football,United Kingdom,Clyde,New Douglas Park (Hamilton),"[55.7821657, -4.057878313946571]",,
Football,United Kingdom,East Fife,MGM Timber Bayview Stadium (Methil),"[]",,
Football,United Kingdom,Edinburgh City,Meadowbank Sports Centre (Edinburgh),"[55.956691750000005, -3.1575249222646704]",,
Football,United Kingdom,Peterhead,Balmoor (Peterhead),"[57.511075250000005, -1.7958369005124721]",,
Football,United Kingdom,Stirling,Forthbank Stadium (Stirling),"[56.1190735, -3.912022948126392]",,
Football,United Kingdom,Elgin City,Borough Briggs (Elgin),"[57.65179105, -3.3208288288265297]",,
Football,United Kingdom,Forfar Athletic,Station Park (Forfar),"[56.6523061, -2.884961674985378]",,
Football,United Kingdom,Spartans,Ainslie Park (Edinburgh),"[55.97149845, -3.231609573405814]",,
Football,United Kingdom,Stranraer,Stair Park (Stranraer),"[54.902201399999996, -5.0124846460281]",,
Football,United Kingdom,Bonnyrigg Rose,New Dundas Park (Bonnyrigg),"[55.8746812, -3.1032967114916477]",,
Football,United Kingdom,Buckie Thistle,Victoria Park (Buckie),"[57.6723322, -2.9670578909332788]",,
Football,United Kingdom,East Kilbride,K-Park Training Academy (East Kilbride),"[55.748843300000004, -4.150074579014255]",,
Football,United Kingdom,Aberdeen W,Balmoral Stadium (Aberdeen),"[57.11256605, -2.096828425990587]",,
Football,United Kingdom,Glasgow City W,Petershill Park (Glasgow),"[55.877742850000004, -4.229133528624206]",,
Football,United Kingdom,Montrose W,Links Park (Montrose),"[56.71370505, -2.459112515250773]",,
Football,United Kingdom,Motherwell W,K-Park Training Academy (East Kilbride),"[55.748843300000004, -4.150074579014255]",,
Football,United Kingdom,Spartans W,Ainslie Park (Edinburgh),"[55.97149845, -3.231609573405814]",,
Football,United Kingdom,Rangers W,Broadwood Stadium (Cumbernauld),"[55.94458805, -4.0378431500000005]",,
Football,United Kingdom,Queen's Park W,Ochilview Park (Stenhousemuir),"[56.02780763941066, -3.8146231014342566]",,
Football,United Kingdom,Hearts W,Oriam (Edinburgh),"[55.9092545, -3.315766797259311]",,
Football,United Kingdom,Dundee Utd W,Foundation Park (Dundee),"[56.47328216729565, -2.9674649744352424]",,
Football,United Kingdom,Hibernian W,Meadowbank Sports Centre (Edinburgh),"[55.956691750000005, -3.1575249222646704]",,
Football,United Kingdom,Celtic W,Albert Bartlett Stadium (Airdrie),"[55.86036913859322, -3.9600111897925863]",,
Football,United Kingdom,Partick Thistle W,Petershill Park (Glasgow),"[55.877742850000004, -4.229133528624206]",,
Football,Serbia,Jedinstvo U.,"Stadion ""Dragan Džajić"" (Ub)","[44.815508920229775, 20.494401013646414]",,
Football,Serbia,Mladost,Stadion Mladosti u Lučanima (Lučani),"[43.860154452357136, 20.132578128968266]",,
Football,Serbia,IMT Novi Beograd,Voždovac Stadium (Belgrade),"[44.775152678023424, 20.49009622529141]",,
Football,Serbia,Vojvodina,Stadion Karađorđe (Novi Sad),"[45.2468606, 19.84217780671026]",,
Football,Serbia,Radnicki Nis,Gradski Stadion Čair (Niš),"[43.31570951121703, 21.90876512867791]",,
Football,Serbia,Crvena zvezda,Stadion Rajko Mitić (Belgrade),"[44.78322025, 20.464675050883898]",,
Football,Serbia,Sp. Subotica,Gradski stadion (Subotica),"[46.082055, 19.676578074154957]",,
Football,Serbia,OFK Beograd,Gradski Stadion Zaječar (Zaječar),"[43.89504555, 22.273484349999997]",,
Football,Serbia,Cukaricki,Stadion na Banovom brdu (Belgrade),"[44.77260956789626, 20.42092530994969]",,
Football,Serbia,Napredak,Stadion Mladost Kruševac (Kruševac),"[43.583246849999995, 21.338054390250257]",,
Football,Serbia,Novi Pazar,Gradski Stadion (Novi Pazar),"[]",,
Football,Serbia,Partizan,Stadion Partizana (Belgrade),"[44.78875375, 20.459138858274457]",,
Football,Serbia,Radnicki 1923,Stadion Dubočica (Leskovac),"[42.98992990000001, 21.95973875857637]",,
Football,Serbia,TSC,TSC Arena (Bačka Topola),"[45.8156485, 19.6272322]",,
Football,Serbia,Zeleznicar Pancevo,Sportsko-Rekreativni Centar Mladost (Pančevo),"[]",,
Football,Serbia,Graficar Beograd,Stadion Rajko Mitić (Belgrade),"[44.78322025, 20.464675050883898]",,
Football,Serbia,Borac 1926,Gradski stadion (Cacak),"[]",,
Football,Serbia,FK Indjija,TOYO Tires Arena (Indjija),"[]",,
Football,Serbia,Javor,Stadion Kraj Moravice (Ivanjica),"[]",,
Football,Serbia,Mladost GAT,GAT Arena (Novi Sad),"[]",,
Football,Serbia,Radnicki S. Mitrovica,Gradski stadion (Sremska Mitrovica),"[]",,
Football,Serbia,Vozdovac,Stadion FK Voždovac (Belgrade),"[44.7651248, 20.47213616460552]",,
Football,Serbia,Zemun,Zemun Stadium (Belgrade),"[44.847968699999996, 20.397962631313995]",,
Football,Serbia,Dubocica,Stadion Dubočica (Leskovac),"[42.98992990000001, 21.95973875857637]",,
Football,Serbia,Macva,Stadion FK Mačva Šabac (Sabac),"[44.748369249999996, 19.685805651069252]",,
Football,Serbia,Radnik,EFBET Stadion (Surdulica),"[]",,
Football,Serbia,Sloboda,Stadion Radomir Antic (Uzice),"[43.8515655, 19.846861351633855]",,
Football,Serbia,Sloven Ruma,Stadion u Borkovačkoj Dolini (Ruma),"[]",,
Football,Serbia,Smederevo,Stadion FK Smederevo (Smederevo),"[44.66056555, 20.90164273854608]",,
Football,Serbia,Trayal Krusevac,Stadion FK Trayal (Kruševac),"[]",,
Football,Serbia,Vrsac,Gradski stadion Vrsac (Vrsac),"[45.118478100000004, 21.30982231706346]",,
Football,Slovakia,Banska Bystrica,Štadión SNP (Banská Bystrica),"[48.7318978, 19.130887292084253]",,
Football,Slovakia,Dun. Streda,MOL Aréna (Dunajská Streda),"[47.9995431, 17.61891846259384]",,
Football,Slovakia,Michalovce,Mestský futbalový štadión (Michalovce),"[]",,
Football,Slovakia,Ruzomberok,Štadión pod Čebraťom (Ružomberok),"[]",,
Football,Slovakia,Trencin,Štadión na Sihoti (Trenčín),"[]",,
Football,Slovakia,Zilina,Štadión pod Dubňom (Žilina),"[49.22915755, 18.744817819624483]",,
