Name;Country name EN;Coordinates
Spáta;Greece;37.96163, 23.91514
Sparta;Greece;37.07446, 22.43009
Soúrpi;Greece;39.10319, 22.89789
Soúda;Greece;35.48717, 24.07344
Sofikón;Greece;37.79412, 23.05204
Sofádes;Greece;39.33333, 22.1
Skópelos;Greece;39.12144, 23.72686
Skópelos;Greece;39.02922, 26.44836
Skýros;Greece;38.90417, 24.56306
Skiáthos;Greece;39.16227, 23.49089
Schísma Eloúndas;Greece;35.25757, 25.72796
Schimatári;Greece;38.35, 23.58333
Skarmagkás;Greece;38.01133, 23.60303
Skála Oropoú;Greece;38.31964, 23.78763
Skalánion;Greece;35.28262, 25.18684
Skála;Greece;37.32218, 26.543
Skála;Greece;36.85, 22.66667
Sitia;Greece;35.20783, 26.10467
Sísion;Greece;35.3077, 25.52021
Synoikismós Chavaríou;Greece;37.85575, 21.38789
Sými;Greece;36.61547, 27.83619
Sylivainiótika;Greece;38.16139, 22.33156
Sykoúrio;Greece;39.75947, 22.58
Sikyón;Greece;37.9823, 22.72462
Síkinos;Greece;36.7, 25.11667
Sykiá;Greece;36.76398, 22.94302
Sérifos;Greece;37.15397, 24.50614
Selínia;Greece;37.9332, 23.53147
Savália;Greece;37.82158, 21.29425
Sardínia;Greece;38.89003, 21.20619
Samos;Greece;37.75427, 26.97699
Sámi;Greece;38.25081, 20.64686
Salamína;Greece;37.96427, 23.49649
Royítika;Greece;38.18268, 21.68414
Roviés;Greece;38.80971, 23.23073
Neápolis;Greece;38.67144, 21.36274
Rodotópi;Greece;39.70822, 20.72656
Rododáfni;Greece;38.26976, 22.04875
Rodhítsa;Greece;38.88829, 22.4641
Rizómylos;Greece;39.42763, 22.74717
Rízoma;Greece;39.66432, 21.73541
Río;Greece;38.29558, 21.78504
Rethymno;Greece;35.36555, 24.48232
Rafína;Greece;38.01812, 24.00599
Pteleós;Greece;39.05261, 22.95271
Psychikó;Greece;38.01324, 23.77223
Psachná;Greece;38.57852, 23.64326
Prokópi;Greece;38.73402, 23.4906
Profítis Ilías;Greece;35.20555, 25.09985
Préveza;Greece;38.95617, 20.7505
Prámanta;Greece;39.52306, 21.10139
Pórto Chéli;Greece;37.32786, 23.14384
Portariá;Greece;39.3895, 22.99948
Póros;Greece;38.15369, 20.7712
Póros;Greece;37.49944, 23.45361
Politiká;Greece;38.59673, 23.54457
Polichnítos;Greece;39.07911, 26.18215
Polydéndri;Greece;38.216, 23.86806
Plomári;Greece;38.97527, 26.37137
Platýkampos;Greece;39.61667, 22.53333
Platariá;Greece;39.45044, 20.27781
Plátanos;Greece;37.66731, 21.61108
Pigí;Greece;39.51061, 21.70103
Pithári;Greece;35.51672, 24.08653
Pythagóreio;Greece;37.69102, 26.94341
Pyrgetós;Greece;39.91869, 22.59339
Pyrgetós;Greece;39.55276, 21.74846
Pýrgos;Greece;37.67513, 21.44102
Pýrgos;Greece;35.00611, 25.15191
Piraeus;Greece;37.94203, 23.64619
Pýlos;Greece;36.91298, 21.6965
Pylí;Greece;36.84472, 27.15932
Pýli;Greece;39.45806, 21.61889
Pikérmi;Greece;38.00161, 23.94075
Petroúpolis;Greece;38.04187, 23.68494
Pétra;Greece;39.32682, 26.17648
Péta;Greece;39.16667, 21.03472
Periyiáli;Greece;37.94041, 22.83946
Perivóli;Greece;39.41936, 20.01469
Perivólia;Greece;35.48491, 23.99421
Peristéri;Greece;38.01539, 23.69187
Pérdika;Greece;39.36967, 20.30419
Pérama;Greece;39.69331, 20.84656
Pérama;Greece;37.96775, 23.5721
Pérama;Greece;35.3703, 24.70345
Perachóra;Greece;38.03021, 22.94902
Pentéli;Greece;38.05, 23.86667
Pelópi;Greece;37.67444, 21.59344
Pelasgía;Greece;38.94813, 22.8398
Pediní;Greece;39.59994, 20.84261
Gáïos;Greece;39.19722, 20.18556
Pátra;Greece;38.24444, 21.73444
Pátmos;Greece;37.30895, 26.54723
Patitírion;Greece;39.14657, 23.86494
Pásion;Greece;38.01294, 22.72814
Páros;Greece;37.08333, 25.15
Párga;Greece;39.28572, 20.40044
Paravóla;Greece;38.61472, 21.52046
Proástio;Greece;39.48682, 21.90288
Parapótamos;Greece;39.54858, 20.32436
Paramythiá;Greece;39.47111, 20.51111
Paralía Avlídhos;Greece;38.38002, 23.62842
Paralía;Greece;38.19833, 21.70263
Pappádos;Greece;39.03905, 26.45598
Pappadátes;Greece;39.31444, 20.79314
Pappadhátai;Greece;38.52816, 21.45016
Pánormos;Greece;35.41815, 24.69091
Panaitólion;Greece;38.58316, 21.44729
Pámfila;Greece;39.15697, 26.5217
Pallíni;Greece;38.00514, 23.88302
Palamás;Greece;39.46667, 22.08333
Pálairos;Greece;38.783, 20.88183
Palaiópyrgos;Greece;39.60845, 21.8172
Palaió Fáliro;Greece;37.92812, 23.70105
Palaiomonástiro;Greece;39.46269, 21.65793
Palaiókipos;Greece;39.05563, 26.45053
Palaióchora;Greece;35.23128, 23.68185
Palekastro;Greece;35.19793, 26.25429
Psará;Greece;38.54097, 25.56287
Palaiá Fókaia;Greece;37.71998, 23.94792
Palaiá Epídavros;Greece;37.63847, 23.15609
Paianía;Greece;37.95527, 23.85443
Oxílithos;Greece;38.57988, 24.11184
Ovriá;Greece;38.18866, 21.72903
Oropós;Greece;38.30326, 23.75549
Orchomenós;Greece;38.4929, 22.97962
Oreoí;Greece;38.95034, 23.09191
Omvriakí;Greece;39.10118, 22.27106
Oinoússes;Greece;38.51458, 26.22241
Oinófyta;Greece;38.31163, 23.64
Papágou;Greece;37.98642, 23.79347
Oía;Greece;36.4626, 25.37637
Níkaia;Greece;39.56667, 22.46667
Níkaia;Greece;37.96667, 23.65
Nerokoúros;Greece;35.47587, 24.03995
Néon Monastírion;Greece;39.23988, 22.27465
Néon Karlovásion;Greece;37.79209, 26.7049
Neochorópoulo;Greece;39.62553, 20.83558
Oichalía;Greece;39.60827, 21.97996
Neochóri;Greece;39.07025, 21.01892
Neochórion;Greece;38.40847, 21.27511
Neochóri;Greece;37.90794, 21.20392
Neméa;Greece;37.82068, 22.66102
Néa Tírins;Greece;37.60793, 22.81996
Néa Stíra;Greece;38.17935, 24.20842
Néa Smýrni;Greece;37.94504, 23.71416
Néa Seléfkeia;Greece;39.52461, 20.25519
Neápoli;Greece;35.25627, 25.60415
Néa Péramos;Greece;38.00647, 23.42348
Néa Palátia;Greece;38.31942, 23.79649
Néa Manoláda;Greece;38.05378, 21.38189
Néa Mákri;Greece;38.08733, 23.97642
Ílion;Greece;38.03333, 23.7
Néa Lámpsakos;Greece;38.43729, 23.62824
Néa Kíos;Greece;37.59023, 22.74342
Néa Ionía;Greece;38.0357, 23.75733
Néa Filadélfeia;Greece;38.03491, 23.73811
Néa Erythraía;Greece;38.0927, 23.82223
Néa Artáki;Greece;38.52027, 23.63296
Néa Anchiálos;Greece;39.28015, 22.81819
Néa Alikarnassós;Greece;35.33893, 25.15972
Náxos;Greece;37.10556, 25.37639
Náfplio;Greece;37.56863, 22.80691
Náfpaktos;Greece;38.39167, 21.8275
Náousa;Greece;37.12181, 25.24014
Mouzourás;Greece;35.53885, 24.15554
Mouzáki;Greece;39.42972, 21.66361
Mouzaki;Greece;37.73565, 20.82291
Mourniés;Greece;35.48228, 24.01253
Moúlki;Greece;37.99319, 22.72531
Moskháton;Greece;37.94789, 23.6788
Mória;Greece;39.13248, 26.51698
Morfovoúni;Greece;39.3525, 21.75
Monastiráki;Greece;38.85053, 20.94458
Mólos;Greece;38.80998, 22.64544
Moláoi;Greece;36.80757, 22.85132
Mokhós;Greece;35.26342, 25.42305
Moíres;Greece;35.05143, 24.8733
Mitrópoli;Greece;39.33933, 21.83751
Mytilinioí;Greece;37.72716, 26.90747
Mytilene;Greece;39.10772, 26.55529
Mytikas;Greece;38.44373, 23.65365
Míthymna;Greece;39.36781, 26.17639
Myrsíni;Greece;37.92117, 21.237
Mýrina;Greece;39.87483, 25.06359
Mindilóglion;Greece;38.18387, 21.70133
Mílos;Greece;36.74536, 24.4265
Mykonos;Greece;37.44529, 25.32872
Megísti;Greece;36.14889, 29.59361
Metsovo;Greece;39.76944, 21.18222
Methóni;Greece;36.81973, 21.70486
Messíni;Greece;37.05111, 22.00778
Mesolóngi;Greece;38.37138, 21.43151
Mesariá;Greece;36.39893, 25.44807
Agía Triáda;Greece;39.46361, 21.89848
Menídi;Greece;39.04213, 21.11875
Melíssia;Greece;38.05, 23.83333
Meligalás;Greece;37.21667, 21.96667
Mégara;Greece;37.99471, 23.34324
Megalópoli;Greece;37.40111, 22.14222
Megálo Chorió;Greece;36.45505, 27.34563
Megalochóri;Greece;39.55982, 21.84195
Megáli Khóra;Greece;38.64629, 21.37309
Megála Kalývia;Greece;39.49693, 21.78802
Mavrommáti;Greece;39.42386, 21.69379
Mataránga;Greece;38.52359, 21.47325
Martínon;Greece;38.56817, 23.21458
Marmárion;Greece;38.04839, 24.32039
Markópoulo Oropoú;Greece;38.2898, 23.82475
Markópoulo;Greece;37.88333, 23.93333
Marathónas;Greece;38.15317, 23.96278
Marathókampos;Greece;37.72674, 26.68964
Manoláda;Greece;38.04708, 21.34814
Mandráki;Greece;36.61139, 27.13333
Mándra;Greece;38.06667, 23.5
Mantoúdi;Greece;38.79808, 23.47967
Mantamádos;Greece;39.31003, 26.33629
Mália;Greece;35.28367, 25.46262
Malesína;Greece;38.62225, 23.2337
Malakónta;Greece;38.4, 23.76667
Makrísia;Greece;37.60957, 21.60509
Makrychóri;Greece;39.8, 22.48333
Makrychóri;Greece;39.43978, 21.96582
Makrakómi;Greece;38.9415, 22.11535
Magoúla;Greece;38.41178, 23.82128
Magoúla;Greece;38.07989, 23.52108
Magoúla;Greece;37.08007, 22.40469
Artémida;Greece;37.96727, 23.99684
Loutráki;Greece;37.9783, 22.97781
Loutrá Aidhipsoú;Greece;38.85695, 23.04739
Loutrá;Greece;39.05695, 26.54476
Loúros;Greece;39.166, 20.75608
Loukísia;Greece;38.47946, 23.44796
Lixoúri;Greece;38.20133, 20.43706
Livanátes;Greece;38.711, 23.0503
Lithakiá;Greece;37.71935, 20.83013
Leipsoí;Greece;37.28333, 26.76667
Limnokhórion;Greece;38.14115, 21.48047
Límni;Greece;38.76667, 23.31667
Limín Mesoyaías;Greece;37.89108, 24.00307
Limín Khersonísou;Greece;35.32297, 25.39275
Lykóvrysi;Greece;38.06933, 23.78223
Ligourión;Greece;37.61233, 23.03773
Lidoríki;Greece;38.52389, 22.19972
Lianokládhion;Greece;38.91655, 22.30336
Lefkímmi;Greece;39.42336, 20.07094
Lefkáda;Greece;38.83036, 20.70442
Levídion;Greece;37.68269, 22.29586
Livadeiá;Greece;38.43616, 22.87665
Lepenoú;Greece;38.70839, 21.2897
Leonídio;Greece;37.16679, 22.85773
Leondárion;Greece;37.987, 23.85518
Lékhaio;Greece;37.93279, 22.85002
Lechainá;Greece;37.93333, 21.26667
Lávrio;Greece;37.71445, 24.05647
Lárisa;Greece;39.63689, 22.41761
Lápas;Greece;38.09755, 21.41861
Langádhia;Greece;37.68186, 22.03002
Lamía;Greece;38.9, 22.43333
Lálas;Greece;37.70936, 21.72117
Lakkí;Greece;37.13344, 26.85237
Krousón;Greece;35.23062, 24.98291
Krokeés;Greece;36.88297, 22.54683
Taxiárches;Greece;39.57565, 21.89245
Kritsá;Greece;35.15821, 25.64459
Kryonéri;Greece;38.13712, 23.83055
Kríkellos;Greece;38.94532, 21.1791
Kréstena;Greece;37.59193, 21.62034
Kranídi;Greece;37.37974, 23.15969
Kraniá Elassónas;Greece;39.95094, 21.97078
Kouvarás;Greece;37.82711, 23.96715
Koutsopódi;Greece;37.68426, 22.71355
Koutselió;Greece;39.58808, 20.91197
Metamórfosi;Greece;38.06576, 23.76356
Kostakioí;Greece;39.13672, 20.95761
Kos;Greece;36.89295, 27.28768
Koropí;Greece;37.89886, 23.87181
Koróni;Greece;36.79526, 21.95794
Kórinthos;Greece;37.94007, 22.9513
Domvraína;Greece;38.253, 22.98211
Kompóti;Greece;39.10255, 21.08389
Kolympári;Greece;35.54115, 23.77995
Kokkónion;Greece;37.97061, 22.78018
Kokkíni Cháni;Greece;35.32827, 25.2581
Kokkári;Greece;37.77908, 26.89179
Koilás;Greece;37.4123, 23.12553
Kýthnos;Greece;37.41237, 24.43068
Kýthira;Greece;36.14955, 22.98979
Kíssamos;Greece;35.49459, 23.65375
Kírra;Greece;38.42944, 22.44443
Kyriáki;Greece;38.35365, 22.78841
Kyrás Vrýsi;Greece;37.91295, 22.98651
Kipséli;Greece;38.00288, 23.73755
Kypséli;Greece;37.76021, 23.45448
Kyparissía;Greece;37.25111, 21.67361
Kinéta;Greece;37.96843, 23.21351
Kímolos;Greece;36.79368, 24.57577
Kými;Greece;38.63477, 24.10287
Kyllíni;Greece;37.93542, 21.14503
Kifisiá;Greece;38.07438, 23.81106
Kiáto;Greece;38.01321, 22.74839
Chóra Sfakíon;Greece;35.20176, 24.13711
Chóra;Greece;37.70374, 26.90454
Chóra;Greece;37.05106, 21.7169
Cholargós;Greece;38.0, 23.8
Chios;Greece;38.36875, 26.13718
Khiliomódhi;Greece;37.81016, 22.86972
Chávari;Greece;37.84842, 21.38403
Chaniá;Greece;35.51124, 24.02921
Khalkoútsion;Greece;38.33263, 23.73188
Chalkída;Greece;38.46354, 23.60284
Chalkiádes;Greece;39.15981, 20.93292
Chálki;Greece;39.56853, 22.54017
Chálki;Greece;36.22243, 27.61191
Chalandrítsa;Greece;38.10843, 21.78349
Khalándrion;Greece;38.02369, 23.80068
Chairóneia;Greece;38.49551, 22.84424
Chaïdári;Greece;38.01135, 23.66597
Keratsíni;Greece;37.9625, 23.61972
Keratéa;Greece;37.80585, 23.9774
Kerasochóri;Greece;39.00556, 21.63778
Kentrí;Greece;35.03258, 25.7528
Kéfalos;Greece;36.74507, 26.95961
Kéa;Greece;37.63333, 24.35
Kavásila;Greece;37.87581, 21.26422
Katsikás;Greece;39.62281, 20.88758
Katoúna;Greece;38.78547, 21.11417
Káto Tithoréa;Greece;38.60751, 22.71348
Káto Soúlion;Greece;38.16803, 24.01628
Káto Mazaráki;Greece;38.07035, 21.65097
Káto Lekhónia;Greece;39.33091, 23.03957
Katochí;Greece;38.41237, 21.25258
Káto Glykóvrysi;Greece;36.82791, 22.77732
Káto Dhiminió;Greece;38.0249, 22.73294
Káto Asítai;Greece;35.20271, 24.99827
Káto Achaḯa;Greece;38.15, 21.55
Katastárion;Greece;37.83012, 20.75755
Kastrí;Greece;34.8346, 24.08572
Kastráki;Greece;39.71692, 21.61865
Kastélli;Greece;35.20902, 25.33773
Kastélla;Greece;38.57048, 23.63131
Karpochóri;Greece;39.33575, 22.01129
Karpenísi;Greece;38.91218, 21.79836
Karpathos;Greece;35.50701, 27.21322
Kárystos;Greece;38.01333, 24.41611
Karyés;Greece;37.29119, 22.50066
Karditsomagoúla;Greece;39.39061, 21.9233
Kardítsa;Greece;39.36485, 21.92191
Kardamýli;Greece;36.88778, 22.23317
Kardamás;Greece;37.76729, 21.33946
Kardámaina;Greece;36.78305, 27.14289
Karátoula;Greece;37.73564, 21.53578
Pefkochóri;Greece;39.98784, 23.61219
Kaparéllion;Greece;38.23697, 23.21411
Kapandríti;Greece;38.21579, 23.87938
Kandíla;Greece;38.70564, 20.94749
Kanaláki;Greece;39.23361, 20.6
Kanália;Greece;39.49928, 22.88589
Kaména Voúrla;Greece;38.77844, 22.78573
Kamaterón;Greece;38.05586, 23.70515
Kamárai;Greece;38.29881, 21.99892
Kalpáki;Greece;39.88778, 20.62389
Kalloní;Greece;39.23318, 26.20724
Kallíthiro;Greece;39.28099, 21.90491
Kallithéa;Greece;37.95, 23.7
Kallifóni;Greece;39.27712, 21.96128
Kalývia Thorikoú;Greece;37.83894, 23.92505
Kalýves;Greece;35.45046, 24.17507
Kálymnos;Greece;36.9503, 26.98388
Kalávryta;Greece;38.03222, 22.1125
Kálamos;Greece;38.28447, 23.86308
Kalamiá;Greece;39.16528, 20.93206
Kalampáka;Greece;39.70444, 21.62694
Kalamata;Greece;37.03913, 22.11265
Álimos;Greece;37.91033, 23.72361
Kaisarianí;Greece;37.9634, 23.76523
Kainoúryion;Greece;38.79283, 22.7247
Kainoúryion;Greece;38.60453, 21.48776
Itháki;Greece;38.36421, 20.71848
Itéa;Greece;39.45669, 22.16577
Itéa;Greece;38.43201, 22.42443
Istiaía;Greece;38.9552, 23.1521
Isthmía;Greece;37.91356, 23.0046
Irákleio;Greece;38.05282, 23.76523
Irákleion;Greece;35.32787, 25.14341
Íos;Greece;36.72293, 25.2817
Ioánnina;Greece;39.66486, 20.85189
Igoumenítsa;Greece;39.50342, 20.26728
Ierápetra;Greece;35.01186, 25.74234
Ýdra;Greece;37.34976, 23.4656
Grizáno;Greece;39.63192, 22.05258
Grammenítsa;Greece;39.18444, 20.97933
Grammatikó;Greece;38.20251, 23.96504
Gra Liyiá;Greece;35.01467, 25.69127
Graikochóri;Greece;39.49789, 20.27608
Goúrnes;Greece;35.32626, 25.2774
Goúmero;Greece;37.76236, 21.61853
Gónnoi;Greece;39.86153, 22.47647
Gómfoi;Greece;39.46413, 21.69342
Glyfáda;Greece;37.86289, 23.75802
Gázi;Greece;35.32531, 25.06694
Gavaloú;Greece;38.52903, 21.53226
Gastoúni;Greece;37.85, 21.25
Gargaliánoi;Greece;37.06518, 21.63809
Galaxídhion;Greece;38.38067, 22.38001
Galátsi;Greece;38.01667, 23.75
Galatás;Greece;38.35742, 21.56222
Galatás;Greece;37.49618, 23.44886
Galatás;Greece;35.49864, 23.96341
Gaïtánion;Greece;37.79134, 20.87407
Fry;Greece;35.41623, 26.92328
Folégandros;Greece;36.62794, 24.92021
Fyteíes;Greece;38.69524, 21.18467
Filótion;Greece;37.05167, 25.49829
Filothéi;Greece;38.02524, 23.78257
Fílla;Greece;38.44177, 23.68306
Filippiáda;Greece;39.20472, 20.88222
Filiatrá;Greece;37.15637, 21.58532
Filiátes;Greece;39.60111, 20.31194
Fylí;Greece;38.10235, 23.66901
Fíki;Greece;39.51602, 21.65556
Fársala;Greece;39.29472, 22.38472
Fáros;Greece;38.39959, 23.62275
Farkadóna;Greece;39.6, 22.06667
Magoúla;Greece;39.45395, 21.80351
Fálanna;Greece;39.71986, 22.39733
Examília;Greece;37.89736, 22.92832
Evxinoúpolis;Greece;39.18414, 22.73831
Ermoúpolis;Greece;37.44466, 24.9429
Ermióni;Greece;37.38492, 23.24686
Erythrés;Greece;38.21741, 23.32234
Erétria;Greece;38.40097, 23.8022
Eresós;Greece;39.16973, 25.93437
Epitálio;Greece;37.62675, 21.49528
Ano Arhanes;Greece;35.23333, 25.16667
Emporeío;Greece;36.35816, 25.44615
Émponas;Greece;36.22683, 27.85645
Eloúnda;Greece;35.265, 25.72127
Ellinikó;Greece;37.89013, 23.74406
Elefsína;Greece;38.04135, 23.54295
Eleoúsa;Greece;39.70639, 20.7925
Eleoúsa;Greece;39.15278, 20.96214
Eláteia;Greece;38.6277, 22.76492
Elassóna;Greece;39.89472, 22.18861
Ekáli;Greece;38.11035, 23.83505
Voulgaréli;Greece;39.37194, 21.18333
Dhrosiá;Greece;38.48413, 23.54774
Drosiá;Greece;38.11977, 23.86428
Drépanon;Greece;37.53888, 22.89323
Dhráfi;Greece;38.02375, 23.90788
Domokós;Greece;39.12722, 22.30028
Dhokímion;Greece;38.61352, 21.38072
Dístomo;Greece;38.42892, 22.66728
Diónysos;Greece;38.10458, 23.87938
Dimitsána;Greece;37.59524, 22.04025
Dílesi;Greece;38.33762, 23.67077
Dídyma;Greece;37.4625, 23.17183
Deskáti;Greece;39.92422, 21.81031
Delphi;Greece;38.47942, 22.49357
Darátsos;Greece;35.49955, 23.97488
Dhafní;Greece;37.95002, 23.73437
Batsíon;Greece;37.86008, 24.7849
Rodópoli;Greece;38.11669, 23.87572
Ágios Geórgios;Greece;38.39343, 22.93189
Áyios Vasílios;Greece;37.79763, 22.79727
Áyios Thomás;Greece;38.27717, 23.58906
Ágios Stéfanos;Greece;38.14657, 23.85608
Áyios Nikólaos;Greece;38.42051, 23.64772
Arkoúdi;Greece;37.84681, 21.11022
Ágios Nikólaos;Greece;35.19106, 25.71524
Áyios Konstandínos;Greece;38.75612, 22.85757
Áyios Konstandínos;Greece;38.63337, 21.3995
Agios Kirykos;Greece;37.61472, 26.29444
Ágios Efstrátios;Greece;39.53889, 24.99167
Agios Dimitrios;Greece;37.93333, 23.73333
Ágios Andréas;Greece;37.34519, 22.76466
Áyios Adhrianós;Greece;37.59975, 22.8456
Ágioi Theódoroi;Greece;37.92736, 23.14221
Ágioi Déka;Greece;35.06667, 24.96667
Áyioi Apóstoloi;Greece;38.29169, 23.91011
Agía Varvára;Greece;37.98938, 23.66011
Agía Varvára;Greece;35.13715, 25.00131
Agía Triáda;Greece;38.35505, 22.90881
Ayía Triás;Greece;37.63707, 22.80504
Agiásos;Greece;39.08295, 26.37218
Agía Paraskeví;Greece;39.24792, 26.27178
Agía Paraskeví;Greece;38.01667, 23.83333
Agía Marína;Greece;37.1543, 26.85162
Agía Marína;Greece;35.51778, 23.92675
Agía Galíni;Greece;35.09707, 24.68818
Agiá;Greece;39.71901, 22.75869
Avlónas;Greece;38.25149, 23.69554
Atsipópoulo;Greece;35.35253, 24.43378
Athens;Greece;37.98376, 23.72784
Athíkia;Greece;37.81675, 22.92939
Atalánti;Greece;38.65111, 22.99917
Ástros;Greece;37.40395, 22.72118
Astypálaia;Greece;36.55, 26.35
Astakós;Greece;38.53556, 21.08135
Ássos;Greece;37.93955, 22.82223
Asprópyrgos;Greece;38.06134, 23.58971
Asprángeloi;Greece;39.82328, 20.72862
Asopós;Greece;36.72986, 22.85455
Asopía;Greece;38.29882, 23.50189
Asíni;Greece;37.54431, 22.86435
Asímion;Greece;35.04321, 25.09277
Argyroúpoli;Greece;37.90594, 23.75035
Argyropoúli;Greece;39.82567, 22.30689
Artesianó;Greece;39.40194, 21.89649
Árta;Greece;39.16014, 20.98561
Árma;Greece;38.35121, 23.48599
Archontochóri;Greece;38.70053, 21.03896
Archaía Olympía;Greece;37.64788, 21.6271
Arkhaía Kórinthos;Greece;37.90953, 22.88353
Arkalochóri;Greece;35.14634, 25.26538
Áris;Greece;37.0992, 22.00443
Aria;Greece;37.57372, 22.83539
Argostólion;Greece;38.18109, 20.48903
Árgos;Greece;37.63333, 22.73333
Argalastí;Greece;39.22627, 23.21868
Arfará;Greece;37.15619, 22.04485
Aráchova;Greece;38.47958, 22.5835
Anthiró;Greece;39.34722, 21.45833
Anthíli;Greece;38.85, 22.47906
Anógeia;Greece;35.29084, 24.88412
Áno Sýros;Greece;37.44997, 24.93562
Áno Merá;Greece;37.44904, 25.39095
Áno Liósia;Greece;38.08333, 23.7
Áno Lekhónia;Greece;39.32763, 23.05395
Kopanáki;Greece;37.28913, 21.81854
Áno Kastrítsi;Greece;38.27228, 21.836
Áno Kalentíni;Greece;39.25, 21.18528
Anoixi;Greece;38.13267, 23.85874
Megalochóri;Greece;37.71051, 23.34659
Angelókastro;Greece;38.56585, 21.29631
Anéza;Greece;39.08658, 20.923
Andros;Greece;37.8367, 24.9367
Andravída;Greece;37.90588, 21.26936
Antirrio;Greece;38.33014, 21.76413
Antíparos;Greece;37.0394, 25.08258
Antimácheia;Greece;36.80888, 27.09764
Antikyra;Greece;38.38333, 22.63333
Anávra;Greece;39.18996, 22.09308
Anávyssos;Greece;37.73414, 23.94389
Anatolí;Greece;39.63531, 20.86578
Anáfi;Greece;36.35, 25.76667
Amorgós;Greece;36.83175, 25.89821
Ámfissa;Greece;38.52813, 22.37713
Amfilochía;Greece;38.85944, 21.16639
Amfíkleia;Greece;38.63912, 22.59171
Ampelóna;Greece;39.74481, 22.36575
Ambelókipoi;Greece;37.75809, 20.87248
Ampelákia;Greece;37.95055, 23.52803
Maroúsi;Greece;38.05, 23.8
Amárynthos;Greece;38.393, 23.88492
Amaliáda;Greece;37.79842, 21.35068
Almyrós;Greece;39.18222, 22.75944
Álli Meriá;Greece;39.37039, 22.9835
Alivéri;Greece;38.41667, 24.03333
